ID,Target
ID_204,Low
ID_205,Medium
ID_206,High
ID_207,Low
ID_208,Medium
ID_209,High
ID_210,Low
ID_211,Medium
ID_212,High
ID_213,Low
ID_214,Medium
ID_215,High
ID_216,Low
ID_217,Medium
ID_218,High
ID_219,Low
ID_220,Medium
ID_221,High
ID_222,Low
ID_223,Medium
ID_224,High
ID_225,Low
ID_226,Medium
ID_227,High
ID_228,Low
ID_229,Medium
ID_230,High
ID_231,Low
ID_232,Medium
ID_233,High
ID_234,Low
ID_235,Medium
ID_236,High
ID_237,Low
ID_238,Medium
ID_239,High
ID_240,Low
ID_241,Medium
ID_242,High
ID_243,Low
ID_244,Medium
ID_245,High
ID_246,Low
ID_247,Medium
ID_248,High
ID_249,Low
ID_250,Medium
ID_251,High
ID_252,Low
ID_253,Medium
ID_254,High
ID_255,Low
ID_256,Medium
ID_257,High
ID_258,Low
ID_259,Medium
ID_260,High
ID_261,Low
ID_262,Medium
ID_263,High
ID_264,Low
ID_265,Medium
ID_266,High
ID_267,Low
ID_268,Medium
ID_269,High
ID_270,Low
ID_271,Medium
ID_272,High
ID_273,Low
ID_274,Medium
ID_275,High
ID_276,Low
ID_277,Medium
ID_278,High
ID_279,Low
ID_280,Medium
ID_281,High
ID_282,Low
ID_283,Medium
ID_284,High
ID_285,Low
ID_286,Medium
ID_287,High
ID_288,Low
ID_289,Medium
ID_290,High
ID_291,Low
ID_292,Medium
ID_293,High
ID_294,Low
ID_295,Medium
ID_296,High
ID_297,Low
ID_298,Medium
ID_299,High
ID_300,Low
ID_301,Medium
ID_302,High
ID_303,Low
ID_304,Medium
ID_305,High
ID_306,Low
ID_307,Medium
ID_308,High
ID_309,Low
ID_310,Medium
ID_311,High
ID_312,Low
ID_313,Medium
ID_314,High
ID_315,Low
ID_316,Medium
ID_317,High
ID_318,Low
ID_319,Medium
ID_320,High
ID_321,Low
ID_322,Medium
ID_323,High
ID_324,Low
ID_325,Medium
ID_326,High
ID_327,Low
ID_328,Medium
ID_329,High
ID_330,Low
ID_331,Medium
ID_332,High
ID_333,Low
ID_334,Medium
ID_335,High
ID_336,Low
ID_337,Medium
ID_338,High
ID_339,Low
ID_340,Medium
ID_341,High
ID_342,Low
ID_343,Medium
ID_344,High
ID_345,Low
ID_346,Medium
ID_347,High
ID_348,Low
ID_349,Medium
ID_350,High
ID_351,Low
ID_352,Medium
ID_353,High
ID_354,Low
ID_355,Medium
ID_356,High
ID_357,Low
ID_358,Medium
ID_359,High
ID_360,Low
ID_361,Medium
ID_362,High
ID_363,Low
ID_364,Medium
ID_365,High
ID_366,Low
ID_367,Medium
ID_368,High
ID_369,Low
ID_370,Medium
ID_371,High
ID_372,Low
ID_373,Medium
ID_374,High
ID_375,Low
ID_376,Medium
ID_377,High
ID_378,Low
ID_379,Medium
ID_380,High
ID_381,Low
ID_382,Medium
ID_383,High
ID_384,Low
ID_385,Medium
ID_386,High
ID_387,Low
ID_388,Medium
ID_389,High
ID_390,Low
ID_391,Medium
ID_392,High
ID_393,Low
ID_394,Medium
ID_395,High
ID_396,Low
ID_397,Medium
ID_398,High
ID_399,Low
ID_400,Medium
ID_401,High
ID_402,Low
ID_403,Medium
ID_404,High
ID_405,Low
ID_406,Medium
ID_407,High
ID_408,Low
ID_409,Medium
ID_410,High
ID_411,Low
ID_412,Medium
ID_413,High
ID_414,Low
ID_415,Medium
ID_416,High
ID_417,Low
ID_418,Medium
ID_419,High
ID_420,Low
ID_421,Medium
ID_422,High
ID_423,Low
ID_424,Medium
ID_425,High
ID_426,Low
ID_427,Medium
ID_428,High
ID_429,Low
ID_430,Medium
ID_431,High
ID_432,Low
ID_433,Medium
ID_434,High
ID_435,Low
ID_436,Medium
ID_437,High
ID_438,Low
ID_439,Medium
ID_440,High
ID_441,Low
ID_442,Medium
ID_443,High
ID_444,Low
ID_445,Medium
ID_446,High
ID_447,Low
ID_448,Medium
ID_449,High
ID_450,Low
ID_451,Medium
ID_452,High
ID_453,Low
ID_454,Medium
ID_455,High
ID_456,Low
ID_457,Medium
ID_458,High
ID_459,Low
ID_460,Medium
ID_461,High
ID_462,Low
ID_463,Medium
ID_464,High
ID_465,Low
ID_466,Medium
ID_467,High
ID_468,Low
ID_469,Medium
ID_470,High
ID_471,Low
ID_472,Medium
ID_473,High
ID_474,Low
ID_475,Medium
ID_476,High
ID_477,Low
ID_478,Medium
ID_479,High
ID_480,Low
ID_481,Medium
ID_482,High
ID_483,Low
ID_484,Medium
ID_485,High
ID_486,Low
ID_487,Medium
ID_488,High
ID_489,Low
ID_490,Medium
ID_491,High
ID_492,Low
ID_493,Medium
ID_494,High
ID_495,Low
ID_496,Medium
ID_497,High
ID_498,Low
ID_499,Medium
ID_500,High
ID_501,Low
ID_502,Medium
ID_503,High
ID_504,Low
ID_505,Medium
ID_506,High
ID_507,Low
ID_508,Medium
ID_509,High
ID_510,Low
ID_511,Medium
ID_512,High
ID_513,Low
ID_514,Medium
ID_515,High
ID_516,Low
ID_517,Medium
ID_518,High
ID_519,Low
ID_520,Medium
ID_521,High
ID_522,Low
ID_523,Medium
ID_524,High
ID_525,Low
ID_526,Medium
ID_527,High
ID_528,Low
ID_529,Medium
ID_530,High
ID_531,Low
ID_532,Medium
ID_533,High
ID_534,Low
ID_535,Medium
ID_536,High
ID_537,Low
ID_538,Medium
ID_539,High
ID_540,Low
ID_541,Medium
ID_542,High
ID_543,Low
ID_544,Medium
ID_545,High
ID_546,Low
ID_547,Medium
ID_548,High
ID_549,Low
ID_550,Medium
ID_551,High
ID_552,Low
ID_553,Medium
ID_554,High
ID_555,Low
ID_556,Medium
ID_557,High
ID_558,Low
ID_559,Medium
ID_560,High
ID_561,Low
ID_562,Medium
ID_563,High
ID_564,Low
ID_565,Medium
ID_566,High
ID_567,Low
ID_568,Medium
ID_569,High
ID_570,Low
ID_571,Medium
ID_572,High
ID_573,Low
ID_574,Medium
ID_575,High
ID_576,Low
ID_577,Medium
ID_578,High
ID_579,Low
ID_580,Medium
ID_581,High
ID_582,Low
ID_583,Medium
ID_584,High
ID_585,Low
ID_586,Medium
ID_587,High
ID_588,Low
ID_589,Medium
ID_590,High
ID_591,Low
ID_592,Medium
ID_593,High
ID_594,Low
ID_595,Medium
ID_596,High
ID_597,Low
ID_598,Medium
ID_599,High
ID_600,Low
ID_601,Medium
ID_602,High
ID_603,Low
ID_604,Medium
ID_605,High
ID_606,Low
ID_607,Medium
ID_608,High
ID_609,Low
ID_610,Medium
ID_611,High
ID_612,Low
ID_613,Medium
ID_614,High
ID_615,Low
ID_616,Medium
ID_617,High
ID_618,Low
ID_619,Medium
ID_620,High
ID_621,Low
ID_622,Medium
ID_623,High
ID_624,Low
ID_625,Medium
ID_626,High
ID_627,Low
ID_628,Medium
ID_629,High
ID_630,Low
ID_631,Medium
ID_632,High
ID_633,Low
ID_634,Medium
ID_635,High
ID_636,Low
ID_637,Medium
ID_638,High
ID_639,Low
ID_640,Medium
ID_641,High
ID_642,Low
ID_643,Medium
ID_644,High
ID_645,Low
ID_646,Medium
ID_647,High
ID_648,Low
ID_649,Medium
ID_650,High
ID_651,Low
ID_652,Medium
ID_653,High
ID_654,Low
ID_655,Medium
ID_656,High
ID_657,Low
ID_658,Medium
ID_659,High
ID_660,Low
ID_661,Medium
ID_662,High
ID_663,Low
ID_664,Medium
ID_665,High
ID_666,Low
ID_667,Medium
ID_668,High
ID_669,Low
ID_670,Medium
ID_671,High
ID_672,Low
ID_673,Medium
ID_674,High
ID_675,Low
ID_676,Medium
ID_677,High
ID_678,Low
ID_679,Medium
ID_680,High
ID_681,Low
ID_682,Medium
ID_683,High
ID_684,Low
ID_685,Medium
ID_686,High
ID_687,Low
ID_688,Medium
ID_689,High
ID_690,Low
ID_691,Medium
ID_692,High
ID_693,Low
ID_694,Medium
ID_695,High
ID_696,Low
ID_697,Medium
ID_698,High
ID_699,Low
ID_700,Medium
ID_701,High
ID_702,Low
ID_703,Medium
ID_704,High
ID_705,Low
ID_706,Medium
ID_707,High
ID_708,Low
ID_709,Medium
ID_710,High
ID_711,Low
ID_712,Medium
ID_713,High
ID_714,Low
ID_715,Medium
ID_716,High
ID_717,Low
ID_718,Medium
ID_719,High
ID_720,Low
ID_721,Medium
ID_722,High
ID_723,Low
ID_724,Medium
ID_725,High
ID_726,Low
ID_727,Medium
ID_728,High
ID_729,Low
ID_730,Medium
ID_731,High
ID_732,Low
ID_733,Medium
ID_734,High
ID_735,Low
ID_736,Medium
ID_737,High
ID_738,Low
ID_739,Medium
ID_740,High
ID_741,Low
ID_742,Medium
ID_743,High
ID_744,Low
ID_745,Medium
ID_746,High
ID_747,Low
ID_748,Medium
ID_749,High
ID_750,Low
ID_751,Medium
ID_752,High
ID_753,Low
ID_754,Medium
ID_755,High
ID_756,Low
ID_757,Medium
ID_758,High
ID_759,Low
ID_760,Medium
ID_761,High
ID_762,Low
ID_763,Medium
ID_764,High
ID_765,Low
ID_766,Medium
ID_767,High
ID_768,Low
ID_769,Medium
ID_770,High
ID_771,Low
ID_772,Medium
ID_773,High
ID_774,Low
ID_775,Medium
ID_776,High
ID_777,Low
ID_778,Medium
ID_779,High
ID_780,Low
ID_781,Medium
ID_782,High
ID_783,Low
ID_784,Medium
ID_785,High
ID_786,Low
ID_787,Medium
ID_788,High
ID_789,Low
ID_790,Medium
ID_791,High
ID_792,Low
ID_793,Medium
ID_794,High
ID_795,Low
ID_796,Medium
ID_797,High
ID_798,Low
ID_799,Medium
ID_800,High
ID_801,Low
ID_802,Medium
ID_803,High
ID_804,Low
ID_805,Medium
ID_806,High
ID_807,Low
ID_808,Medium
ID_809,High
ID_810,Low
ID_811,Medium
ID_812,High
ID_813,Low
ID_814,Medium
ID_815,High
ID_816,Low
ID_817,Medium
ID_818,High
ID_819,Low
ID_820,Medium
ID_821,High
ID_822,Low
ID_823,Medium
ID_824,High
ID_825,Low
ID_826,Medium
ID_827,High
ID_828,Low
ID_829,Medium
ID_830,High
ID_831,Low
ID_832,Medium
ID_833,High
ID_834,Low
ID_835,Medium
ID_836,High
ID_837,Low
ID_838,Medium
ID_839,High
ID_840,Low
ID_841,Medium
ID_842,High
ID_843,Low
ID_844,Medium
ID_845,High
ID_846,Low
ID_847,Medium
ID_848,High
ID_849,Low
ID_850,Medium
ID_851,High
ID_852,Low
ID_853,Medium
ID_854,High
ID_855,Low
ID_856,Medium
ID_857,High
ID_858,Low
ID_859,Medium
ID_860,High
ID_861,Low
ID_862,Medium
ID_863,High
ID_864,Low
ID_865,Medium
ID_866,High
ID_867,Low
ID_868,Medium
ID_869,High
ID_870,Low
ID_871,Medium
ID_872,High
ID_873,Low
ID_874,Medium
ID_875,High
ID_876,Low
ID_877,Medium
ID_878,High
ID_879,Low
ID_880,Medium
ID_881,High
ID_882,Low
ID_883,Medium
ID_884,High
ID_885,Low
ID_886,Medium
ID_887,High
ID_888,Low
ID_889,Medium
ID_890,High
ID_891,Low
ID_892,Medium
ID_893,High
ID_894,Low
ID_895,Medium
ID_896,High
ID_897,Low
ID_898,Medium
ID_899,High
ID_900,Low
ID_901,Medium
ID_902,High
ID_903,Low
ID_904,Medium
ID_905,High
ID_906,Low
ID_907,Medium
ID_908,High
ID_909,Low
ID_910,Medium
ID_911,High
ID_912,Low
ID_913,Medium
ID_914,High
ID_915,Low
ID_916,Medium
ID_917,High
ID_918,Low
ID_919,Medium
ID_920,High
ID_921,Low
ID_922,Medium
ID_923,High
ID_924,Low
ID_925,Medium
ID_926,High
ID_927,Low
ID_928,Medium
ID_929,High
ID_930,Low
ID_931,Medium
ID_932,High
ID_933,Low
ID_934,Medium
ID_935,High
ID_936,Low
ID_937,Medium
ID_938,High
ID_939,Low
ID_940,Medium
ID_941,High
ID_942,Low
ID_943,Medium
ID_944,High
ID_945,Low
ID_946,Medium
ID_947,High
ID_948,Low
ID_949,Medium
ID_950,High
ID_951,Low
ID_952,Medium
ID_953,High
ID_954,Low
ID_955,Medium
ID_956,High
ID_957,Low
ID_958,Medium
ID_959,High
ID_960,Low
ID_961,Medium
ID_962,High
ID_963,Low
ID_964,Medium
ID_965,High
ID_966,Low
ID_967,Medium
ID_968,High
ID_969,Low
ID_970,Medium
ID_971,High
ID_972,Low
ID_973,Medium
ID_974,High
ID_975,Low
ID_976,Medium
ID_977,High
ID_978,Low
ID_979,Medium
ID_980,High
ID_981,Low
ID_982,Medium
ID_983,High
ID_984,Low
ID_985,Medium
ID_986,High
ID_987,Low
ID_988,Medium
ID_989,High
ID_990,Low
ID_991,Medium
ID_992,High
ID_993,Low
ID_994,Medium
ID_995,High
ID_996,Low
ID_997,Medium
ID_998,High
ID_999,Low
ID_1000,Medium
ID_1001,High
ID_1002,Low
ID_1003,Medium
ID_1004,High
ID_1005,Low
ID_1006,Medium
ID_1007,High
ID_1008,Low
ID_1009,Medium
ID_1010,High
ID_1011,Low
ID_1012,Medium
ID_1013,High
ID_1014,Low
ID_1015,Medium
ID_1016,High
ID_1017,Low
ID_1018,Medium
ID_1019,High
ID_1020,Low
ID_1021,Medium
ID_1022,High
ID_1023,Low
ID_1024,Medium
ID_1025,High
ID_1026,Low
ID_1027,Medium
ID_1028,High
ID_1029,Low
ID_1030,Medium
ID_1031,High
ID_1032,Low
ID_1033,Medium
ID_1034,High
ID_1035,Low
ID_1036,Medium
ID_1037,High
ID_1038,Low
ID_1039,Medium
ID_1040,High
ID_1041,Low
ID_1042,Medium
ID_1043,High
ID_1044,Low
ID_1045,Medium
ID_1046,High
ID_1047,Low
ID_1048,Medium
ID_1049,High
ID_1050,Low
ID_1051,Medium
ID_1052,High
ID_1053,Low
ID_1054,Medium
ID_1055,High
ID_1056,Low
ID_1057,Medium
ID_1058,High
ID_1059,Low
ID_1060,Medium
ID_1061,High
ID_1062,Low
ID_1063,Medium
ID_1064,High
ID_1065,Low
ID_1066,Medium
ID_1067,High
ID_1068,Low
ID_1069,Medium
ID_1070,High
ID_1071,Low
ID_1072,Medium
ID_1073,High
ID_1074,Low
ID_1075,Medium
ID_1076,High
ID_1077,Low
ID_1078,Medium
ID_1079,High
ID_1080,Low
ID_1081,Medium
ID_1082,High
ID_1083,Low
ID_1084,Medium
ID_1085,High
ID_1086,Low
ID_1087,Medium
ID_1088,High
ID_1089,Low
ID_1090,Medium
ID_1091,High
ID_1092,Low
ID_1093,Medium
ID_1094,High
ID_1095,Low
ID_1096,Medium
ID_1097,High
ID_1098,Low
ID_1099,Medium
ID_1100,High
ID_1101,Low
ID_1102,Medium
ID_1103,High
ID_1104,Low
ID_1105,Medium
ID_1106,High
ID_1107,Low
ID_1108,Medium
ID_1109,High
ID_1110,Low
ID_1111,Medium
ID_1112,High
ID_1113,Low
ID_1114,Medium
ID_1115,High
ID_1116,Low
ID_1117,Medium
ID_1118,High
ID_1119,Low
ID_1120,Medium
ID_1121,High
ID_1122,Low
ID_1123,Medium
ID_1124,High
ID_1125,Low
ID_1126,Medium
ID_1127,High
ID_1128,Low
ID_1129,Medium
ID_1130,High
ID_1131,Low
ID_1132,Medium
ID_1133,High
ID_1134,Low
ID_1135,Medium
ID_1136,High
ID_1137,Low
ID_1138,Medium
ID_1139,High
ID_1140,Low
ID_1141,Medium
ID_1142,High
ID_1143,Low
ID_1144,Medium
ID_1145,High
ID_1146,Low
ID_1147,Medium
ID_1148,High
ID_1149,Low
ID_1150,Medium
ID_1151,High
ID_1152,Low
ID_1153,Medium
ID_1154,High
ID_1155,Low
ID_1156,Medium
ID_1157,High
ID_1158,Low
ID_1159,Medium
ID_1160,High
ID_1161,Low
ID_1162,Medium
ID_1163,High
ID_1164,Low
ID_1165,Medium
ID_1166,High
ID_1167,Low
ID_1168,Medium
ID_1169,High
ID_1170,Low
ID_1171,Medium
ID_1172,High
ID_1173,Low
ID_1174,Medium
ID_1175,High
ID_1176,Low
ID_1177,Medium
ID_1178,High
ID_1179,Low
ID_1180,Medium
ID_1181,High
ID_1182,Low
ID_1183,Medium
ID_1184,High
ID_1185,Low
ID_1186,Medium
ID_1187,High
ID_1188,Low
ID_1189,Medium
ID_1190,High
ID_1191,Low
ID_1192,Medium
ID_1193,High
ID_1194,Low
ID_1195,Medium
ID_1196,High
ID_1197,Low
ID_1198,Medium
ID_1199,High
ID_1200,Low
ID_1201,Medium
ID_1202,High
ID_1203,Low
ID_1204,Medium
ID_1205,High
ID_1206,Low
ID_1207,Medium
ID_1208,High
ID_1209,Low
ID_1210,Medium
ID_1211,High
ID_1212,Low
ID_1213,Medium
ID_1214,High
ID_1215,Low
ID_1216,Medium
ID_1217,High
ID_1218,Low
ID_1219,Medium
ID_1220,High
ID_1221,Low
ID_1222,Medium
ID_1223,High
ID_1224,Low
ID_1225,Medium
ID_1226,High
ID_1227,Low
ID_1228,Medium
ID_1229,High
ID_1230,Low
ID_1231,Medium
ID_1232,High
ID_1233,Low
ID_1234,Medium
ID_1235,High
ID_1236,Low
ID_1237,Medium
ID_1238,High
ID_1239,Low
ID_1240,Medium
ID_1241,High
ID_1242,Low
ID_1243,Medium
ID_1244,High
ID_1245,Low
ID_1246,Medium
ID_1247,High
ID_1248,Low
ID_1249,Medium
ID_1250,High
ID_1251,Low
ID_1252,Medium
ID_1253,High
ID_1254,Low
ID_1255,Medium
ID_1256,High
ID_1257,Low
ID_1258,Medium
ID_1259,High
ID_1260,Low
ID_1261,Medium
ID_1262,High
ID_1263,Low
ID_1264,Medium
ID_1265,High
ID_1266,Low
ID_1267,Medium
ID_1268,High
ID_1269,Low
ID_1270,Medium
ID_1271,High
ID_1272,Low
ID_1273,Medium
ID_1274,High
ID_1275,Low
ID_1276,Medium
ID_1277,High
ID_1278,Low
ID_1279,Medium
ID_1280,High
ID_1281,Low
ID_1282,Medium
ID_1283,High
ID_1284,Low
ID_1285,Medium
ID_1286,High
ID_1287,Low
ID_1288,Medium
ID_1289,High
ID_1290,Low
ID_1291,Medium
ID_1292,High
ID_1293,Low
ID_1294,Medium
ID_1295,High
ID_1296,Low
ID_1297,Medium
ID_1298,High
ID_1299,Low
ID_1300,Medium
ID_1301,High
ID_1302,Low
ID_1303,Medium
ID_1304,High
ID_1305,Low
ID_1306,Medium
ID_1307,High
ID_1308,Low
ID_1309,Medium
ID_1310,High
ID_1311,Low
ID_1312,Medium
ID_1313,High
ID_1314,Low
ID_1315,Medium
ID_1316,High
ID_1317,Low
ID_1318,Medium
ID_1319,High
ID_1320,Low
ID_1321,Medium
ID_1322,High
ID_1323,Low
ID_1324,Medium
ID_1325,High
ID_1326,Low
ID_1327,Medium
ID_1328,High
ID_1329,Low
ID_1330,Medium
ID_1331,High
ID_1332,Low
ID_1333,Medium
ID_1334,High
ID_1335,Low
ID_1336,Medium
ID_1337,High
ID_1338,Low
ID_1339,Medium
ID_1340,High
ID_1341,Low
ID_1342,Medium
ID_1343,High
ID_1344,Low
ID_1345,Medium
ID_1346,High
ID_1347,Low
ID_1348,Medium
ID_1349,High
ID_1350,Low
ID_1351,Medium
ID_1352,High
ID_1353,Low
ID_1354,Medium
ID_1355,High
ID_1356,Low
ID_1357,Medium
ID_1358,High
ID_1359,Low
ID_1360,Medium
ID_1361,High
ID_1362,Low
ID_1363,Medium
ID_1364,High
ID_1365,Low
ID_1366,Medium
ID_1367,High
ID_1368,Low
ID_1369,Medium
ID_1370,High
ID_1371,Low
ID_1372,Medium
ID_1373,High
ID_1374,Low
ID_1375,Medium
ID_1376,High
ID_1377,Low
ID_1378,Medium
ID_1379,High
ID_1380,Low
ID_1381,Medium
ID_1382,High
ID_1383,Low
ID_1384,Medium
ID_1385,High
ID_1386,Low
ID_1387,Medium
ID_1388,High
ID_1389,Low
ID_1390,Medium
ID_1391,High
ID_1392,Low
ID_1393,Medium
ID_1394,High
ID_1395,Low
ID_1396,Medium
ID_1397,High
ID_1398,Low
ID_1399,Medium
ID_1400,High
ID_1401,Low
ID_1402,Medium
ID_1403,High
ID_1404,Low
ID_1405,Medium
ID_1406,High
ID_1407,Low
ID_1408,Medium
ID_1409,High
ID_1410,Low
ID_1411,Medium
ID_1412,High
ID_1413,Low
ID_1414,Medium
ID_1415,High
ID_1416,Low
ID_1417,Medium
ID_1418,High
ID_1419,Low
ID_1420,Medium
ID_1421,High
ID_1422,Low
ID_1423,Medium
ID_1424,High
ID_1425,Low
ID_1426,Medium
ID_1427,High
ID_1428,Low
ID_1429,Medium
ID_1430,High
ID_1431,Low
ID_1432,Medium
ID_1433,High
ID_1434,Low
ID_1435,Medium
ID_1436,High
ID_1437,Low
ID_1438,Medium
ID_1439,High
ID_1440,Low
ID_1441,Medium
ID_1442,High
ID_1443,Low
ID_1444,Medium
ID_1445,High
ID_1446,Low
ID_1447,Medium
ID_1448,High
ID_1449,Low
ID_1450,Medium
ID_1451,High
ID_1452,Low
ID_1453,Medium
ID_1454,High
ID_1455,Low
ID_1456,Medium
ID_1457,High
ID_1458,Low
ID_1459,Medium
ID_1460,High
ID_1461,Low
ID_1462,Medium
ID_1463,High
ID_1464,Low
ID_1465,Medium
ID_1466,High
ID_1467,Low
ID_1468,Medium
ID_1469,High
ID_1470,Low
ID_1471,Medium
ID_1472,High
ID_1473,Low
ID_1474,Medium
ID_1475,High
ID_1476,Low
ID_1477,Medium
ID_1478,High
ID_1479,Low
ID_1480,Medium
ID_1481,High
ID_1482,Low
ID_1483,Medium
ID_1484,High
ID_1485,Low
ID_1486,Medium
ID_1487,High
ID_1488,Low
ID_1489,Medium
ID_1490,High
ID_1491,Low
ID_1492,Medium
ID_1493,High
ID_1494,Low
ID_1495,Medium
ID_1496,High
ID_1497,Low
ID_1498,Medium
ID_1499,High
ID_1500,Low
ID_1501,Medium
ID_1502,High
ID_1503,Low
ID_1504,Medium
ID_1505,High
ID_1506,Low
ID_1507,Medium
ID_1508,High
ID_1509,Low
ID_1510,Medium
ID_1511,High
ID_1512,Low
ID_1513,Medium
ID_1514,High
ID_1515,Low
ID_1516,Medium
ID_1517,High
ID_1518,Low
ID_1519,Medium
ID_1520,High
ID_1521,Low
ID_1522,Medium
ID_1523,High
ID_1524,Low
ID_1525,Medium
ID_1526,High
ID_1527,Low
ID_1528,Medium
ID_1529,High
ID_1530,Low
ID_1531,Medium
ID_1532,High
ID_1533,Low
ID_1534,Medium
ID_1535,High
ID_1536,Low
ID_1537,Medium
ID_1538,High
ID_1539,Low
ID_1540,Medium
ID_1541,High
ID_1542,Low
ID_1543,Medium
ID_1544,High
ID_1545,Low
ID_1546,Medium
ID_1547,High
ID_1548,Low
ID_1549,Medium
ID_1550,High
ID_1551,Low
ID_1552,Medium
ID_1553,High
ID_1554,Low
ID_1555,Medium
ID_1556,High
ID_1557,Low
ID_1558,Medium
ID_1559,High
ID_1560,Low
ID_1561,Medium
ID_1562,High
ID_1563,Low
ID_1564,Medium
ID_1565,High
ID_1566,Low
ID_1567,Medium
ID_1568,High
ID_1569,Low
ID_1570,Medium
ID_1571,High
ID_1572,Low
ID_1573,Medium
ID_1574,High
ID_1575,Low
ID_1576,Medium
ID_1577,High
ID_1578,Low
ID_1579,Medium
ID_1580,High
ID_1581,Low
ID_1582,Medium
ID_1583,High
ID_1584,Low
ID_1585,Medium
ID_1586,High
ID_1587,Low
ID_1588,Medium
ID_1589,High
ID_1590,Low
ID_1591,Medium
ID_1592,High
ID_1593,Low
ID_1594,Medium
ID_1595,High
ID_1596,Low
ID_1597,Medium
ID_1598,High
ID_1599,Low
ID_1600,Medium
ID_1601,High
ID_1602,Low
ID_1603,Medium
ID_1604,High
ID_1605,Low
ID_1606,Medium
ID_1607,High
ID_1608,Low
ID_1609,Medium
ID_1610,High
ID_1611,Low
ID_1612,Medium
ID_1613,High
ID_1614,Low
ID_1615,Medium
ID_1616,High
ID_1617,Low
ID_1618,Medium
ID_1619,High
ID_1620,Low
ID_1621,Medium
ID_1622,High
ID_1623,Low
ID_1624,Medium
ID_1625,High
ID_1626,Low
ID_1627,Medium
ID_1628,High
ID_1629,Low
ID_1630,Medium
ID_1631,High
ID_1632,Low
ID_1633,Medium
ID_1634,High
ID_1635,Low
ID_1636,Medium
ID_1637,High
ID_1638,Low
ID_1639,Medium
ID_1640,High
ID_1641,Low
ID_1642,Medium
ID_1643,High
ID_1644,Low
ID_1645,Medium
ID_1646,High
ID_1647,Low
ID_1648,Medium
ID_1649,High
ID_1650,Low
ID_1651,Medium
ID_1652,High
ID_1653,Low
ID_1654,Medium
ID_1655,High
ID_1656,Low
ID_1657,Medium
ID_1658,High
ID_1659,Low
ID_1660,Medium
ID_1661,High
ID_1662,Low
ID_1663,Medium
ID_1664,High
ID_1665,Low
